State,Year,Coal_Consumption,Gas_Consumption,Oil_Consumption,Solar_Generation,Wind_Generation,Hydro_Generation,Energy_Demand,Population,CO2_Emission
Maharashtra,2016,170,55,35,30,60,75,450,118,612.5
Maharashtra,2017,175,58,38,40,65,78,470,119,630.5
Maharashtra,2018,180,60,40,50,70,80,500,120,650.0
Maharashtra,2019,185,63,42,65,80,85,530,122,667.5
Maharashtra,2020,190,65,45,80,90,90,560,124,685.0
Maharashtra,2021,200,70,50,100,110,95,600,126,720.0
Maharashtra,2022,210,75,55,120,130,100,640,128,755.0

Gujarat,2016,140,45,25,40,70,65,400,63,507.5
Gujarat,2017,145,48,28,50,75,68,420,64,525.5
Gujarat,2018,150,50,30,60,80,70,440,65,545.0
Gujarat,2019,155,53,32,75,90,75,470,67,562.5
Gujarat,2020,160,55,35,90,100,80,500,69,580.0
Gujarat,2021,170,60,40,110,120,85,540,71,615.0
Gujarat,2022,180,65,45,130,140,90,580,73,650.0

Tamil Nadu,2016,130,40,20,50,80,55,380,73,465.0
Tamil Nadu,2017,135,43,23,60,90,58,400,74,482.5
Tamil Nadu,2018,140,45,25,70,90,60,430,75,500.0
Tamil Nadu,2019,145,48,28,85,100,65,460,77,517.5
Tamil Nadu,2020,150,50,30,100,120,70,490,79,535.0
Tamil Nadu,2021,160,55,35,120,140,75,530,81,570.0
Tamil Nadu,2022,170,60,40,140,160,80,570,83,605.0

Uttar Pradesh,2016,190,65,45,20,40,50,460,195,700.0
Uttar Pradesh,2017,195,68,48,30,45,55,480,198,717.5
Uttar Pradesh,2018,200,70,50,40,50,60,500,200,735.0
Uttar Pradesh,2019,210,75,55,50,55,65,530,205,770.0
Uttar Pradesh,2020,220,80,60,60,60,70,560,210,805.0
Uttar Pradesh,2021,230,85,65,70,65,75,600,215,840.0
Uttar Pradesh,2022,240,90,70,80,70,80,640,220,875.0

Karnataka,2016,120,35,18,50,90,70,360,63,435.5
Karnataka,2017,125,38,20,60,100,75,380,64,452.0
Karnataka,2018,130,40,20,60,100,80,430,65,465.0
Karnataka,2019,135,43,23,75,110,85,460,67,482.5
Karnataka,2020,140,45,25,90,130,90,500,69,500.0
Karnataka,2021,150,50,30,110,150,95,540,71,535.0
Karnataka,2022,160,55,35,130,170,100,580,73,570.0
